"Reporting date","Name of health care institution","Region","District","address","EDRPOU code of health care institution","Latitude","Longitude","Hospitalization","Number of artificial respirating units in health care institution","Number of recovery cases among people with confirmed COVID-19 diagnosis during reporting interval","Number of beds adaptated for hospitalization of peolple with suspected SARS-CoV-2 (2019-nCoV) coronavirus infection","Number of peolple with suspected SARS-CoV-2 (2019-nCoV) coronavirus infection, whoes cases wait for laboratory confirmation","Number of peolple with suspected SARS-CoV-2 (2019-nCoV) coronavirus infection, whoes cases registered during reported period","Number of peolple with confirmed COVID-19 diagnosis, affected by SARS-CoV-2 (2019-nCoV) coronavirus infection, under medical treatment","Number of people whoes COVID-19 diagnosis confirmed during reporting period","Number of fatal cases among people with confirmed COVID-19 diagnosis during reporting interval","State"
2020-01-27,"КП""Маневицька центральна районна лікарня""","Volinska","Manevitskiy","smt. ManevichI, vul. NezalezhnostI, 1","01983186","51.290636","25.561194",0,9,0,20,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Бердичівська міська лікарня""","Zhitomirska",NA,"m. BerdichIv, vul. Zdorov’ya, 1","01992015","49.901759","28.586652",0,16,0,16,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Камінь-Каширська центральна районна лікарня""","Volinska","KamIn-Kashirskiy","m. KamIn-Kashirsk, vul. Shevchenka, 43","01983051","51.631262443","24.951863920",0,7,0,4,0,0,0,0,0,"Not found"
2020-01-27,"Комунальне підприємство «Лікарня №1» Житомирської міської ради","Zhitomirska",NA,"m. Zhitomir, vul. Velika BerdichIvska, 70","42788614","50.255794","28.659639",0,16,0,40,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Центральна міська лікарня Кіровоградської міської ради, стаціонар №1""","KIrovogradska",NA,"m. Kropivnitskiy, vul. Fortetsya, 21","05493846","48.508331380","32.266261029",0,6,0,135,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Горохівська центральна районна лікарня""","Volinska","GorohIvskiy","m. GorohIv, vul. Parkova, 22","01982896","50.496364","24.762261",0,6,0,20,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""ТМО ""БЛІЛ та швидкої мед.допомоги"" ММР ЗО (відокремлений підрозділ ""Інфекційна лікарня"")","ZaporIzka",NA,"m. MelItopol, vul. KIzIyarska,38","05498720","46.865809024","35.395828325",0,20,0,100,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Коростенська центральна міська лікарня""","Zhitomirska",NA,"m. Korosten, vul. M.Amosova, 8","01992050","50.94929","28.64162",0,4,0,9,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Новоград-Волинське міськрайонне територіальне медичне об'єднання""","Zhitomirska",NA,"m. Novograd-Volinskiy, vul. NatalIYi OrzhevskoYi, 13","01991820","50.585629291","27.607596661",0,4,0,55,0,0,0,0,0,"Not found"
2020-01-27,"КП ""Кверцівське районне територіальне медичне об'єднання""","Volinska","KIvertsIvskiy","m. KIvertsI, vul. FIlatova, 6","38856054","50.832340","25.457025",0,2,0,15,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Обласна клінічна інфекційна лікарня» Закарпатської обласної ради»","Zakarpatska",NA,"m. Uzhgorod, vul.GriboEdova, 20a","26464978","48.638118013","22.282963181",0,6,0,100,0,0,0,0,0,"Not found"
2020-01-27,"КНП БМР ""Бердянське територіальне медичне об'єднання""","ZaporIzka",NA,"m. Berdyansk, vul. Konsulska, 23","39029713","46.760974884","36.786884491",0,19,0,40,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Спеціалізована медико-санітарна частина""ЕМР","ZaporIzka",NA,"m. Energodar, vul. BudIvelnikIv, 33","42594137","47.501506722","34.634185914",0,4,0,30,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Сєвєродонецької міської багатопрофільної лікарні» Сєвєродонецької міської ради","Luganska",NA,"m. SEvErodonetsk, vul. Egorova, 2b","37747995","48.958906083","38.490041527",0,23,0,60,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Мелітопольська ЦРЛ"" МРР ЗО","ZaporIzka",NA,"m. MelItopol, vul.KIzIyarska,55","01992877","46.871115695","35.394588602",0,8,0,32,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Рубіжанська центральна міська лікарня» Рубіжанської міської ради Луганської області","Luganska",NA,"m. RubIzhne, vul. Studentska, 19","01983683","49.024594188","38.357225009",0,6,0,30,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Якимівська ЦРЛ"" ЯСР ЗО","ZaporIzka","YakimIvskiy","smt. YakimIvka, vul. Tsentralna, 30","01993032","46.707021478","35.168084902",0,8,0,25,0,0,0,0,0,"Not found"
2020-01-27,"КУ ""Обласна інфекційна клінічна лікарня"" ЗОР","ZaporIzka",NA,"m. ZaporIzhzhya, bul. GvardIyskiy, 142","05498849","47.838633","35.160926",0,4,0,46,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Районна лікарня Калуської районної ради","Ivano-FrankIvska",NA,"m. Kalush, vul. Karakaya, 25","33271905","49.018029815","24.350981701",0,0,0,25,0,0,0,0,0,"Not found"
2020-01-27,"Клініка ""Мотор-Січ""","ZaporIzka",NA,"m. ZaporIzhzhya, vul. Bryullova, 6","31507969","47.827833","35.203717",0,2,0,0,0,0,0,0,0,"Not found"
2020-01-27,"5. Комунальне некомерційне підприємство «Яготинська центральна районна лікарня» Яготинської районної ради","KiYivska","Yagotinskiy","m. Yagotin, vul. NezalezhnostI, 71","01994422","50.270673524","31.763791993",0,3,0,20,0,0,0,0,0,"Not found"
2020-01-27,"ТОВ ""Вітацентр""","ZaporIzka",NA,"m. ZaporIzhzhya, vul. SEdova, 3","35183119","47.838633","35.160926",0,1,0,0,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Ємільчинська центральна районна лікарня""","Zhitomirska","EmIlchinskiy","smt. EmIlchine, vul 1 travnya, 133","01991659","50.87253","27.80708",0,0,0,0,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Центр первинної медико-санітарної допомоги №2""","ZaporIzka",NA,"m. MelItopol, vul. IndustrIalna, 89","38761806","46.850039","35.343226",0,1,0,0,0,0,0,0,0,"Not found"
2020-01-27,"Комунальне некомерційне підприємство ""Чутівська центральна районна лікарня""","Poltavska","ChutIvskiy","smt. Chutove, vul. Poltavskiy shlyah, 23","01999537","49.703233582","35.145434977",0,5,0,9,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Центр первинної медико-санітарної допомоги № 8""","ZaporIzka",NA,"m. ZaporIzhzhya, vul. Harchova, 2","38783662","47.838633","35.160926",0,1,0,0,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Овруцька міська лікарня""","Zhitomirska","Ovrutskiy","m. Ovruch, vul. Tarasa Shevchenka, 106","42435766","51.32598","28.80267",0,0,0,0,0,0,0,0,0,"Not found"
2020-01-27,"6. Комунальне некомерційне підприємство Переяслав-Хмельницької районної ради, Переяслівської міської ради і сільських районних рад Перея","KiYivska",NA,"m. Pereyaslav, vul. Bogdana Hmelnitskogo, 137","01994161","50.064280878","31.440849524",0,3,0,10,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Центр первинної медико-санітарної допомоги № 6""","ZaporIzka",NA,"m. ZaporIzhzhya, vul. Chumachenko, 21","38969678","47.782566","35.229527",0,0,0,0,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Івано-Франківська обласна клінічна інфекційна лікарня”","Ivano-FrankIvska",NA,"m. Ivano-FrankIvsk, vul. Getmana Sagaydachnogo, 66","01993291","48.938635828","24.719539985",0,6,0,170,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Житомирська обласна дитяча клінічна лікарня» Житомирської обласної ради","Zhitomirska","Zhitomirskiy","s. StanIshIvka, Skvirske shose, 6","02774119","50.230535527","28.687190713",0,9,0,36,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Андрушівська центральна районна лікарня""","Zhitomirska","AndrushIvskiy","m. AndrushIvka, vul. TItova, 34","01991547","50.029632767","29.019907729",0,5,0,6,0,0,0,0,0,"Not found"
2020-01-27,"Комунальне некомерційне підприємство ""Хорольська центральна районна лікарня""","Poltavska","Horolskiy","m. Horol, vul. M.Polonskogo, 11/1","01999514","49.779586591","33.271094877",0,8,0,3,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Центральна районна лікарня ім. Д.І.Потєхіна""","Zhitomirska","KorostishIvskiy","m. KorostishIv, vul. GeroYiv NebesnoYi SotnI, 58","01991731","50.314039127","29.057025776",0,5,0,2,0,0,0,0,0,"Not found"
2020-01-27,"4. Комунальне підприємство «Комунальне некомерційне підприємство Тетіївська центральна районна лікарня»","KiYivska","TetIYivskiy","m. TetIYiv, vul. TsvItkova, 26","00994221","49.363398827","29.684158174",0,3,0,10,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Народицька лікарня""","Zhitomirska","Naroditskiy","smt. NarodichI, vul. Zamkova, 115","42739284","51.199922272","29.086159986",0,0,0,2,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Радомишльська лікарня» Радомишльської міської ради","Zhitomirska","Radomishlskiy","m. Radomishl, vul. Prisutstvenna, 9","01991903","50.503096625","29.240794035",0,NA,0,15,0,0,0,0,0,"Not found"
2020-01-27,"3. Комунальне некомерційне підприємство Таращанської районної ради «Таращанська центральна районна лікарня»","KiYivska","Taraschanskiy","m. Tarascha, vul. Shevchenka, 66","01994215","49.557990888","30.499331485",0,5,0,5,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Старобільське  районне територіальне медичне об’єднання» Старобільської районної ради","Luganska","StarobIlskiy","m. StarobIlsk, vul Monostirska, 67","01983714","49.281546728","38.897801128",0,10,0,30,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Станично-Луганське районне  територіальне медичне об’єднання».","Luganska","Stanichno-Luganskiy","smt. Stanitsya Luganska, vul. 5-ta lInIya, 39","01983602","48.665545929","39.501912720",0,2,0,20,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Дніпрорудненська БМЛ"" ДМР ВР ЗО","ZaporIzka","VasilIvskiy","m. DnIprorudne, vul. Zelena, 2","02005131","47.389688873","35.010935204",0,8,0,30,0,0,0,0,0,"Not found"
2020-01-27,"КНП "" Пологівська БЛІЛ"" ПРР ЗО","ZaporIzka","PologIvskiy","m. Pologi, vul. Im. Geroya UkraYini Satskogo V.A.,6 / vul. I.Chuberka, 90","01992972","47.481971585","36.247797685",0,8,0,26,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Кам'янська-Дніпровська ЦРЛ"" КДРРР ЗО","ZaporIzka",NA,"m. Kam'yanka-DnIprovska, vul Naberezhna, 130","01992854","47.487090103","34.416736211",0,6,0,27,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Рожнятівська ЦРЛ» Рожнятівської районної ради","Ivano-FrankIvska","RozhnyatIvskiy","smt. RozhnyatIv, vul. ShkIlna, 17","01993612","48.933955175","24.147874990",0,6,0,20,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Гуляпільська ЦРЛ"" ГРР ЗО","ZaporIzka","GulyaypIlskiy","m. Gulyay-Pole, vul. Soborna, 107-b","01992937","47.665744415","36.258833592",0,4,0,20,0,0,0,0,0,"Not found"
2020-01-27,"Комунальне некомерційне підприємство ""Решетилівська центральна районна лікарня Решетилівської районної ради""","Poltavska","ReshetilIvskiy","m. ReshetilIvka, vul. Grushevskogo, 76","01999483","49.560667993","34.061639278",0,5,0,22,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Оріхівська БЛІЛ"" ОРР ЗО","ZaporIzka","OrIhIvskiy","m. OrIhIv, vul. Parkova, 2","01992953","47.566440571","35.786295504",0,3,0,31,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Запорізький центр первинної медико-санітарної допомоги №1""","ZaporIzka",NA,"m. ZaporIzhzhya, prosp. Soborniy, 88","38969725","47.820423","35.173109",0,0,0,0,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Нововасилівська РЛ"" ПРР ЗО","ZaporIzka","Priazovskiy","smt. NovovasilIvka, vul. Poshtova, 75","24908721","46.829166996","35.755278000",0,0,0,20,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Городенківська центральна районна лікарня""","Ivano-FrankIvska","GorodenkIvskiy","m. Gorodenka, vul. Sheptitskogo, 24-E","01993428","48.664415124","25.491961338",0,6,0,10,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Долинська багатопрофільна лікарня» Долинської  районної ради Івано-Франківської області","Ivano-FrankIvska","Dolinskiy","m. Dolina, vul. Oksani Gritsey, 15","01993457","48.972304717","23.992965630",0,6,0,20,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Косівська ЦРЛ» Косівської районної ради","Ivano-FrankIvska","KosIvskiy","m. KosIv, prov. Shevchenka, 27","01993546","48.320447474","25.110282902",0,5,0,20,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Надвірнянська ЦРЛ» Надвірнянського району","Ivano-FrankIvska","NadvIrnyanskiy","m. NadvIrna, vul. Grushevskogo, 12","01993575","48.631076828","24.560301592",0,3,0,30,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Новопсковське районне територіальне медичне об’єднання Новопсковської районної ради»","Luganska","Novopskovskiy","smt. Novopskov, vul. UkraYinska, 101A","01983594","49.547051830","39.092525694",0,3,0,15,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Богородчанська ЦРЛ» Богородчанської районної ради","Ivano-FrankIvska","Bogorodchanskiy","smt. Bogorodchani, vul. Shevchenka, 35","01993351","48.811562078","24.544454903",0,2,0,20,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Заболотівська районна лікарня  Заболотівської селищної ради»  ОТГ","Ivano-FrankIvska","Snyatinskiy","smt. ZabolotIv, vul. B.Hmelnitskogo, 10","01993629","48.468603515","25.284909822",0,1,0,20,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Верховинська ЦРЛ» Верховинської районної ради","Ivano-FrankIvska","Verhovinskiy","smt. Verhovina, vul. Nevestyuka, bud. 2","01993374","48.155450710","24.811645698",0,0,0,10,0,0,0,0,0,"Not found"
2020-01-27,"8. КНП «Центральна районна лікарня Києво-Святошинської районної ради»","KiYivska","KiEvo-Svyatoshinskiy","m. Boyarka, vul. SobornostI, 51","01994669","50.330963777","30.276410608",0,18,0,40,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Центр первинної медико-санітарної допомоги Києво-Святошинського району""","KiYivska","KiEvo-Svyatoshinskiy","m. Boyarka, vul. SobornostI, 51","38943382","50.330963777","30.276410608",0,0,0,0,0,0,0,0,0,"Not found"
2020-01-27,"10. Комунальне некомерційне підприємство  «Броварська багатопрофільна клінічна лікарня» БРР БМР","KiYivska",NA,"m. Brovari, vul. Shevchenko, 14","01994497","50.510931013","30.764942274",0,14,0,31,0,0,0,0,0,"Not found"
2020-01-27,"КНП «Міловська центральна районна лікарня» Міловської районної ради Луганської області","Luganska","MIlovskiy","smt. MIlove, vul Mira, 44","01983571","49.379784131","40.135084285",0,2,0,20,0,0,0,0,0,"Not found"
2020-01-27,"7. Комунальне некомерційне підприємство Васильківської районної ради «Васильківська центральна районна лікарня»","KiYivska","VasilkIvskiy","m. VasilkIv, vul. DekabristIv, 87","01994385","50.201378217","30.312494273",0,8,0,34,0,0,0,0,0,"Not found"
2020-01-27,"12.Комунальне некомерційне підприємство Макарівської  районної ради «Баришівська центральна районна лікарня»","KiYivska","MakarIvskiy","m. MakarIv, vul. B.Hmelnitskogo, 62-A","01994698","57.88040","43.80724",0,7,0,4,0,0,0,0,0,"Not found"
2020-01-27,"13.Комунальне некомерційне підприємство Миронівської  районної ради «Миронівська центральна районна лікарня»","KiYivska","MironIvskiy","m. MironIvka, vul. BlagovIschenska, 96","01994149","49.677070683","30.979852801",0,7,0,15,0,0,0,0,0,"Not found"
2020-01-27,"Комунальне некомерційне підприємство ""Миргородська центральна районна лікарня""","Poltavska",NA,"m. Mirgorod, vul. Gogolya, 172","01999402","49.982615225","33.594493191",0,10,0,36,0,0,0,0,0,"Not found"
2020-01-27,"1. КОМУНАЛЬНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВОКИЇВСЬКОЇ ОБЛАСНОЇ РАДИ ""КИЇВСЬКА ОБЛАСНА ДИТЯЧА ЛІКАРНЯ""","KiYivska","KiEvo-Svyatoshinskiy","m. Boyarka, vul. Hreschatik, 83","01994451","50.318723071","30.295198377",0,5,0,15,0,0,0,0,0,"Not found"
2020-01-27,"2. Комунальне некомерційне підприємство Білоцерківської міської  ради «Білоцерківська міська лікарня № 3»","KiYivska",NA,"m. BIla Tserkva, vul. Karbisheva, 12","01994592","49.795975","30.137777",0,3,0,10,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Луганська обласна дитяча клінічна лікарня""","Luganska",NA,"m. Lisichansk, vul. 40 rokIv Peremogi, 12a","04542985","48.867455095","38.427812455",0,18,0,20,0,0,0,0,0,"Not found"
2020-01-27,"9. Комунальне некомерційне підприємство Кагарлицької  районної ради «Кагарлицька центральна районна лікарня»","KiYivska","Kagarlitskiy","m. Kagarlik, vul. Parkova, 10","01994416","49.862917580","30.823122500",0,3,0,10,0,0,0,0,0,"Not found"
2020-01-27,"Комунальне некомерційне підприємство ""Лохвицька районна лікарня Лохвицької районної ради""","Poltavska","Lohvitskiy","m. Lohvitsya, vul. NezalezhnostI, 4","01999359","50.358296001","33.282196184",0,10,0,15,0,0,0,0,0,"Not found"
2020-01-27,"Комунальне некомерційне підприємство""Лікарня інтенсивного лікування 1 рівня""","Poltavska",NA,"m. GorIshnI PlavnI, vul. Miru, 10","01999626","49.013946471","33.638797789",0,14,0,36,0,0,0,0,0,"Not found"
2020-01-27,"11.Комунальне некомерційне підприємство Баришівської  районної ради «Баришівська центральна районна лікарня»","KiYivska","BarishIvskiy","smt. BarishIvka, vul. KiYivskiy shlyah, 126","01994379","50.366249180","31.306350970",0,3,0,7,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Вишгородський районний центр первинної медико-санітарної допомоги""","KiYivska","Vishgorodskiy","m. Vishgorod, vul. Kurguzova, 1","38423901","50.581253814","30.476355722",0,0,0,0,0,0,0,0,0,"Not found"
2020-01-27,"КНП ""Бориспільська багатопрофільна лікарня інтенсивного лікування""","KiYivska",NA,"m. BorispIl, vul. Kotlyarevskogo, 1","01994132","50.348897","30.953436",0,0,0,0,0,0,0,0,0,"Not found"
